Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
1.4,4,43.9612,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
,6,24.1148,8,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
1.8,4,41.7113,7,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
5.9,12,19.4,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
2.5,4,57.4438,1,15.0,2,2,N,N,Naturally Aspirated,@@@@@,
6.2,8,25.9542,8,10.0,1,1,N,N,Naturally Aspirated,@@@@@,   
3.6,6,29.8923,8,85.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
1.8,4,34.4702,6,10.0,2,2,N,N,Turbocharged,@@@@@,N
2.0,4,58.137,6,10.0,2,2,N,Y,none given,@@@@@,
2.0,4,36.2351,6,10.0,2,2,N,N,none given,@@@@@,
1.0,3,48.3501,5,15.0,2,2,N,Y,Turbocharged,@@@@@,N
2.0,4,32.3011,8,85.0,2,2,N,N,Turbocharged,@@@@@,N
6.4,8,23.4876,8,10.0,1,1,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
6.2,8,20.0858,8,10.0,1,1,N,N,none given,@@@@@,N
4.7,8,20.5806,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
5.3,8,23.0686,6,10.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,   
,8,23.3029,6,85.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,Y
1.4,4,60.7663,7,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,4,40.6667,8,10.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,
2.0,4,37.0727,6,10.0,2,2,N,N,none given,@@@@@,   
3.7,6,25.2918,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
,6,24.9756,7,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,6,27.5271,7,10.0,2,2,N,,Naturally Aspirated,Spark Ignition Direct Injection,
2.8,4,29.9044,6,,2,2,N,N,Turbocharged,Direct Diesel Injection (non-common rail),
6.2,8,20.3611,8,10.0,1,1,N,N,Supercharged,@@@@@,Y
2.0,4,28.6571,6,10.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,   
,6,27.925,6,15.0,2,2,N,N,none given,Spark Ignition direct & ported injection,N
,4,29.5548,8,85.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
5.3,8,23.0686,6,10.0,1,1,N,N,none given,Spark Ignition Direct Injection,Y
5.0,8,22.5528,8,15.0,2,2,N,Y,Supercharged,@@@@@,N
2.0,4,33.5228,6,15.0,2,2,N,N,none given,@@@@@,N
2.0,4,31.7073,8,10.0,2,2,N,N,Turbocharged,@@@@@,N
,6,23.7062,6,15.0,2,2,N,N,Turbocharged,@@@@@,N
2.0,4,35.8588,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
