Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Var Valve Lift?,Fuel Metering Sys Desc,Stop/Start System (Engine Management System)  Description,Air Aspiration Method Desc,Label Recalc?
3.0,6,27.9569,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
3.0,6,29.4436,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,34.2582,8,15.0,2,2,N,Spark Ignition direct & ported injection,No,Turbocharged,N
3.5,6,27.925,6,15.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
3.5,6,29.0058,8,15.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
3.5,6,27.925,6,15.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
5.0,8,25.3158,8,15.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
4.7,8,19.9146,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
4.7,8,19.7608,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
4.0,8,24.566,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,Y
4.0,8,25.2094,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.0,8,24.566,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,Y
4.0,8,25.2094,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
5.5,8,21.9735,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,34.5447,9,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,34.0414,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,32.6503,9,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,33.3995,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,30.9081,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.7,8,26.8613,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
6.0,12,19.8134,7,10.0,2,1,N,Multipoint/sequential fuel injection,Yes,Turbocharged,N
6.0,12,20.4297,7,10.0,2,1,N,Multipoint/sequential fuel injection,Yes,Turbocharged,N
2.0,4,37.9591,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,35.2009,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
1.5,3,40.9592,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
1.5,3,43.0468,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
1.5,3,40.9592,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
1.5,3,43.1375,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,37.9591,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,35.2009,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,37.9591,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,35.2009,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
5.0,8,21.3996,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Supercharged,N
5.0,8,19.7975,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Supercharged,N
1.5,4,49.3802,6,10.0,2,2,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
1.5,4,47.5578,6,10.0,2,2,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
1.8,4,36.9629,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
1.8,4,35.8552,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.4,4,38.7615,8,10.0,2,2,Y,Spark Ignition Direct Injection,No,Naturally Aspirated,N
3.5,6,33.1457,9,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
2.4,4,38.3003,8,10.0,2,2,Y,Spark Ignition Direct Injection,No,Naturally Aspirated,N
3.5,6,34.7393,9,10.0,2,2,Y,Spark Ignition Direct Injection,No,Naturally Aspirated,N
2.0,4,37.3079,7,15.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.2361,7,15.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,34.8787,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,41.0931,7,15.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,29.9555,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,29.5284,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
4.0,8,23.6806,8,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
6.0,12,19.3741,8,15.0,2,2,N,Multipoint/sequential fuel injection,No,Turbocharged,N
6.0,12,17.2195,8,15.0,2,2,N,Multipoint/sequential fuel injection,No,Turbocharged,N
2.0,4,36.9057,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.5176,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.8795,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.5536,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,32.7108,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.3177,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,33.2211,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.6872,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.8946,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.7343,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.5536,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,33.568000000000005,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.5536,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.3177,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.3177,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,33.2211,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.6872,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,33.2211,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.8946,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
